# Mass Density (g/cm^3)  Energy (eV/atom)  Total_Atom  Fe  Ge  O  Si  Ta  Ti  Zr
3.499891  -7.571911  720  0  111  480  24  0  105  0
3.499891  -7.571974  720  0  111  480  24  0  105  0
3.499891  -7.571975  720  0  111  480  24  0  105  0
3.499891  -7.572036  720  0  111  480  24  0  105  0
3.499891  -7.572037  720  0  111  480  24  0  105  0
3.499891  -7.572094  720  0  111  480  24  0  105  0
3.499891  -7.572095  720  0  111  480  24  0  105  0
3.499891  -7.572150  720  0  111  480  24  0  105  0
3.499891  -7.572150  720  0  111  480  24  0  105  0
3.499891  -7.572202  720  0  111  480  24  0  105  0
3.499891  -7.572202  720  0  111  480  24  0  105  0
3.499891  -7.572253  720  0  111  480  24  0  105  0
3.499891  -7.572253  720  0  111  480  24  0  105  0
3.499891  -7.572305  720  0  111  480  24  0  105  0
3.499891  -7.572307  720  0  111  480  24  0  105  0
3.499891  -7.572358  720  0  111  480  24  0  105  0
3.499891  -7.572359  720  0  111  480  24  0  105  0
3.499891  -7.572407  720  0  111  480  24  0  105  0
3.499891  -7.572407  720  0  111  480  24  0  105  0
3.499891  -7.572455  720  0  111  480  24  0  105  0
3.499891  -7.572456  720  0  111  480  24  0  105  0
3.499891  -7.572502  720  0  111  480  24  0  105  0
3.499891  -7.572503  720  0  111  480  24  0  105  0
3.499891  -7.572548  720  0  111  480  24  0  105  0
3.499891  -7.572550  720  0  111  480  24  0  105  0
3.499891  -7.572596  720  0  111  480  24  0  105  0
3.499891  -7.572600  720  0  111  480  24  0  105  0
3.499891  -7.572647  720  0  111  480  24  0  105  0
3.499891  -7.572650  720  0  111  480  24  0  105  0
3.499891  -7.572697  720  0  111  480  24  0  105  0
3.499891  -7.572699  720  0  111  480  24  0  105  0
3.499891  -7.572748  720  0  111  480  24  0  105  0
3.499891  -7.572750  720  0  111  480  24  0  105  0
3.499891  -7.572799  720  0  111  480  24  0  105  0
3.499891  -7.572801  720  0  111  480  24  0  105  0
3.499891  -7.572853  720  0  111  480  24  0  105  0
3.499891  -7.572855  720  0  111  480  24  0  105  0
3.499891  -7.572908  720  0  111  480  24  0  105  0
